date,projected_trend,seasonal_index,forecast_retail_sales_millions
2026-08-01,746834.80451167,1.002125068141966,748421.8793620492
2026-09-01,749259.4423566732,1.0009679410659449,749984.6813399772
2026-10-01,751684.0802016765,1.0018567586480607,753079.7761182005
2026-11-01,754108.7180466797,0.9996585398009367,753851.2199337002
2026-12-01,756533.3558916829,0.9979233856157768,754962.3278426935
2027-01-01,758957.9937366862,0.9992524930073935,758390.6673292734
2027-02-01,761382.6315816895,0.9983470347479728,760124.0925481879
2027-03-01,763807.2694266927,0.9999214107267078,763747.2423684532
2027-04-01,766231.9072716959,0.9956914043600161,762930.5238168086
2027-05-01,768656.5451166992,0.9994600051859069,768241.4745685175
2027-06-01,771081.1829617025,1.0026098874615732,773093.6180729693
2027-07-01,773505.8208067056,1.0021860712377446,775196.7596337992
